old_path	new_path	reason
results/figures/current_results_summary.md	results/figures/curated/current_results_summary.md	curated reviewer-facing result summary
results/figures/best_method_by_case.md	results/figures/curated/best_method_by_case.md	curated reviewer-facing result summary
results/figures/error_type_summary.md	results/figures/curated/error_type_summary.md	curated reviewer-facing result summary
results/figures/speaker_cer_summary.md	results/figures/curated/speaker_cer_summary.md	curated reviewer-facing result summary
results/figures/cpcer_lite_summary.md	results/figures/curated/cpcer_lite_summary.md	curated reviewer-facing result summary
results/figures/risk_aware_selection_summary.md	results/figures/curated/risk_aware_selection_summary.md	curated reviewer-facing result summary
results/figures/compute_aware_cascade_summary.md	results/figures/curated/compute_aware_cascade_summary.md	curated reviewer-facing result summary
results/figures/cascade_tiers_summary.md	results/figures/curated/cascade_tiers_summary.md	curated reviewer-facing result summary
results/figures/cascade_tiers_comparison_summary.md	results/figures/curated/cascade_tiers_comparison_summary.md	curated reviewer-facing result summary
results/figures/cascade_pareto.md	results/figures/curated/cascade_pareto.md	curated reviewer-facing result summary
results/figures/cascade_recommendations.md	results/figures/curated/cascade_recommendations.md	curated reviewer-facing result summary
results/figures/cascade_decision_matrix.md	results/figures/curated/cascade_decision_matrix.md	curated reviewer-facing result summary
results/figures/cascade_frontier_report.md	results/figures/curated/cascade_frontier_report.md	curated reviewer-facing result summary
results/figures/synthetic_split_cascade_summary.md	results/figures/curated/synthetic_split_cascade_summary.md	curated reviewer-facing result summary
results/figures/router_ablation_summary.md	results/figures/curated/router_ablation_summary.md	curated reviewer-facing result summary
results/figures/synthetic_routing_summary.md	results/figures/curated/synthetic_routing_summary.md	curated reviewer-facing result summary
results/figures/synthetic_split_routing_summary.md	results/figures/curated/synthetic_split_routing_summary.md	curated reviewer-facing result summary
results/figures/meeteval_compatibility_note.md	results/figures/curated/meeteval_compatibility_note.md	curated reviewer-facing result summary
results/figures/meeteval_readiness.md	results/figures/curated/meeteval_readiness.md	curated reviewer-facing result summary
results/figures/speaker_profile_audio_proxy_summary.md	results/figures/curated/speaker_profile_audio_proxy_summary.md	curated reviewer-facing result summary
results/figures/demo_presentation_polish_card.md	results/figures/archive/demo-presentations/demo_presentation_polish_card.md	historical demo presentation writeback
results/figures/demo_wave100_presentation_writeback.md	results/figures/archive/demo-presentations/demo_wave100_presentation_writeback.md	historical demo presentation writeback
results/figures/demo_wave101_presentation_writeback.md	results/figures/archive/demo-presentations/demo_wave101_presentation_writeback.md	historical demo presentation writeback
results/figures/demo_wave102_presentation_writeback.md	results/figures/archive/demo-presentations/demo_wave102_presentation_writeback.md	historical demo presentation writeback
results/figures/demo_wave103_presentation_writeback.md	results/figures/archive/demo-presentations/demo_wave103_presentation_writeback.md	historical demo presentation writeback
results/figures/demo_wave104_presentation_writeback.md	results/figures/archive/demo-presentations/demo_wave104_presentation_writeback.md	historical demo presentation writeback
results/figures/demo_wave105_presentation_writeback.md	results/figures/archive/demo-presentations/demo_wave105_presentation_writeback.md	historical demo presentation writeback
results/figures/demo_wave106_presentation_writeback.md	results/figures/archive/demo-presentations/demo_wave106_presentation_writeback.md	historical demo presentation writeback
results/figures/demo_wave107_presentation_writeback.md	results/figures/archive/demo-presentations/demo_wave107_presentation_writeback.md	historical demo presentation writeback
results/figures/demo_wave108_presentation_writeback.md	results/figures/archive/demo-presentations/demo_wave108_presentation_writeback.md	historical demo presentation writeback
results/figures/demo_wave109_presentation_writeback.md	results/figures/archive/demo-presentations/demo_wave109_presentation_writeback.md	historical demo presentation writeback
results/figures/demo_wave10_presentation_writeback.md	results/figures/archive/demo-presentations/demo_wave10_presentation_writeback.md	historical demo presentation writeback
results/figures/demo_wave110_presentation_writeback.md	results/figures/archive/demo-presentations/demo_wave110_presentation_writeback.md	historical demo presentation writeback
results/figures/demo_wave111_presentation_writeback.md	results/figures/archive/demo-presentations/demo_wave111_presentation_writeback.md	historical demo presentation writeback
results/figures/demo_wave112_presentation_writeback.md	results/figures/archive/demo-presentations/demo_wave112_presentation_writeback.md	historical demo presentation writeback
results/figures/demo_wave113_presentation_writeback.md	results/figures/archive/demo-presentations/demo_wave113_presentation_writeback.md	historical demo presentation writeback
results/figures/demo_wave114_presentation_writeback.md	results/figures/archive/demo-presentations/demo_wave114_presentation_writeback.md	historical demo presentation writeback
results/figures/demo_wave115_presentation_writeback.md	results/figures/archive/demo-presentations/demo_wave115_presentation_writeback.md	historical demo presentation writeback
results/figures/demo_wave116_presentation_writeback.md	results/figures/archive/demo-presentations/demo_wave116_presentation_writeback.md	historical demo presentation writeback
results/figures/demo_wave117_presentation_writeback.md	results/figures/archive/demo-presentations/demo_wave117_presentation_writeback.md	historical demo presentation writeback
results/figures/demo_wave118_presentation_writeback.md	results/figures/archive/demo-presentations/demo_wave118_presentation_writeback.md	historical demo presentation writeback
results/figures/demo_wave119_presentation_writeback.md	results/figures/archive/demo-presentations/demo_wave119_presentation_writeback.md	historical demo presentation writeback
